Instance Name,Variant,Version,Nr ILS Iterations,Nr Hill Climbing Iterations,Best Solution Time,Best Score
I4000_S24000_C401,11,6,1,716,1811,1695832
I4000_S24000_C401,11,2,3,846,1808,1695840
I4000_S24000_C401,11,1,5,648,1815,1695803
I4000_S24000_C401,11,8,4,667,1801,1695828
I4000_S24000_C401,11,7,1,649,1808,1695820
I4000_S24000_C401,11,9,2,719,1806,1695849
I4000_S24000_C401,11,5,4,764,1675,1695828
I4000_S24000_C401,11,10,4,1094,1743,1695868
I4000_S24000_C401,11,4,3,1074,1687,1695862
I4000_S24000_C401,11,3,4,1225,1515,1695854
I400_S2400_C944,11,5,19,6511,1317,807815
I400_S2400_C944,11,4,23,6898,1391,807761
I400_S2400_C944,11,2,23,6679,1747,807828
I400_S2400_C944,11,10,15,6617,1777,807612
I400_S2400_C944,11,9,21,6509,1372,807759
I400_S2400_C944,11,3,22,6688,1424,807598
I400_S2400_C944,11,1,24,6802,1710,807698
I400_S2400_C944,11,6,18,6712,1568,807640
I400_S2400_C944,11,7,19,6319,1384,807881
I400_S2400_C944,11,8,16,6539,1800,807632
I444_S1776_C666,11,5,6,2337,1611,313159
I444_S1776_C666,11,3,8,2287,1483,312100
I444_S1776_C666,11,10,8,2273,1714,313038
I444_S1776_C666,11,8,11,2162,1522,310733
I444_S1776_C666,11,9,3,2222,1801,315652
I444_S1776_C666,11,6,4,2218,1219,313823
I444_S1776_C666,11,7,6,2337,1203,313089
I444_S1776_C666,11,2,9,2095,1077,313465
I444_S1776_C666,11,4,7,2367,1179,310935
I444_S1776_C666,11,1,6,2234,1800,310452
I500_S2000_C315,11,4,33,10792,1130,294970
I500_S2000_C315,11,5,23,8718,1800,294929
I500_S2000_C315,11,3,19,9272,1260,291972
I500_S2000_C315,11,1,43,12860,1311,293907
I500_S2000_C315,11,7,30,12344,636,292978
I500_S2000_C315,11,9,29,8963,1229,292019
I500_S2000_C315,11,10,30,8701,1314,292956
I500_S2000_C315,11,8,29,9257,1342,293011
I500_S2000_C315,11,6,31,9482,1608,290901
I500_S2000_C315,11,2,20,9108,1798,291856
I600_S3000_C332,11,3,9,2328,1694,123210
I600_S3000_C332,11,6,12,3169,560,122765
I600_S3000_C332,11,4,9,2291,1802,122463
I600_S3000_C332,11,5,5,3338,992,123393
I600_S3000_C332,11,10,4,2353,1800,122511
I600_S3000_C332,11,8,5,2358,1152,122471
I600_S3000_C332,11,7,11,2301,1612,122349
I600_S3000_C332,11,2,5,2143,1224,122832
I600_S3000_C332,11,1,10,2444,1800,123313
I600_S3000_C332,11,9,7,2302,1578,122795
I90_S360_C400,11,7,111,34702,1794,449938
I90_S360_C400,11,3,115,37427,1459,449902
I90_S360_C400,11,5,81,35302,936,449931
I90_S360_C400,11,4,125,40997,1624,449932
I90_S360_C400,11,9,91,35163,1320,449894
I90_S360_C400,11,2,105,36347,1166,449928
I90_S360_C400,11,1,122,45912,1646,449947
I90_S360_C400,11,10,86,36579,1357,449910
I90_S360_C400,11,6,140,53389,1265,449944
I90_S360_C400,11,8,109,36349,1656,449953
I99_S399_C400,11,1,167,50966,1773,145870
I99_S399_C400,11,10,151,49843,1192,145876
I99_S399_C400,11,5,149,51253,1721,145866
I99_S399_C400,11,6,140,49111,1652,145883
I99_S399_C400,11,8,131,49616,1722,145862
I99_S399_C400,11,2,142,49410,1447,145888
I99_S399_C400,11,3,218,81067,1073,145864
I99_S399_C400,11,7,147,50922,1509,145877
I99_S399_C400,11,9,158,51165,1187,145866
I99_S399_C400,11,4,136,49530,1333,145880
I80_S480_C600,11,3,29,7974,1471,491968
I80_S480_C600,11,5,20,8086,1721,493477
I80_S480_C600,11,10,31,7711,1299,492700
I80_S480_C600,11,1,18,8023,1346,489155
I80_S480_C600,11,7,23,8018,1794,491662
I80_S480_C600,11,4,23,8411,1500,491055
I80_S480_C600,11,8,17,8193,458,490800
I80_S480_C600,11,9,21,8556,771,489126
I80_S480_C600,11,6,24,8492,1563,495310
I80_S480_C600,11,2,15,8184,1455,488589
I80_S240_C300,11,3,333,127079,1668,108290
I80_S240_C300,11,4,342,126982,1555,108280
I80_S240_C300,11,2,331,127416,1453,108284
I80_S240_C300,11,10,337,127657,1658,108285
I80_S240_C300,11,9,318,123606,1528,108287
I80_S240_C300,11,5,365,127855,1780,108289
I80_S240_C300,11,8,336,126844,1709,108283
I80_S240_C300,11,6,364,123360,1774,108280
I80_S240_C300,11,1,324,122779,1462,108288
I80_S240_C300,11,7,532,210787,1780,108289
I12000_S36000_C2000,11,4,7,2062,1470,2785094
I12000_S36000_C2000,11,7,7,2208,1587,2785071
I12000_S36000_C2000,11,1,8,1818,1094,2785063
I12000_S36000_C2000,11,6,7,2050,1800,2785121
I12000_S36000_C2000,11,5,6,1901,1728,2785090
I12000_S36000_C2000,11,9,9,2069,1215,2785071
I12000_S36000_C2000,11,8,7,2350,1319,2785095
I12000_S36000_C2000,11,2,4,1798,1559,2785086
I12000_S36000_C2000,11,3,2,1928,1801,2785092
I12000_S36000_C2000,11,10,4,2072,1800,2785102
I9000_S36000_C1500,11,8,6,2467,1800,1128534
I9000_S36000_C1500,11,6,6,2498,1800,1128573
I9000_S36000_C1500,11,5,5,2660,1800,1128602
I9000_S36000_C1500,11,4,6,2459,1546,1128547
I9000_S36000_C1500,11,9,4,2596,1373,1128563
I9000_S36000_C1500,11,2,9,2952,1800,1128545
I9000_S36000_C1500,11,1,9,2531,1775,1128562
I9000_S36000_C1500,11,3,6,2824,1787,1128604
I9000_S36000_C1500,11,7,7,2647,1711,1128580
I9000_S36000_C1500,11,10,5,2653,1458,1128580
I10000_S30000_C1200,11,4,9,3396,1788,1348372
I10000_S30000_C1200,11,6,7,3286,1429,1348373
I10000_S30000_C1200,11,1,15,3446,1008,1348339
I10000_S30000_C1200,11,10,12,3369,1345,1348367
I10000_S30000_C1200,11,8,9,3443,1371,1348357
I10000_S30000_C1200,11,9,11,3421,1780,1348325
I10000_S30000_C1200,11,5,9,3579,926,1348335
I10000_S30000_C1200,11,3,15,3294,1780,1348350
I10000_S30000_C1200,11,2,12,3381,969,1348339
I10000_S30000_C1200,11,7,7,3740,1801,1348378
